183;xml-id;auswahl;sender-1;sender-2;recipient-1;recipient-2;sender-placeName;recipient-placeName;date-cert;date-when;date-from;date-to;date-notBefore;date-notAfter;incipit;Handschrift- oder Abschriftennachweis;Umfang;Drucknachweis
n;;UN;Ferdinand Gregorovius;;Louis Köhler;Johanna Köhler;Rom;Königsberg;high;1857-09-28;;;;;;h (Hermann Elgnowski): BSB München, NL Gregorovius, Gregoroviusiana 20, Köhler, Louis;;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 69–70
;;UN;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Rom;Bologna;high;1857-10-05;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 9;1 Dbl., 4°, 2 S.;
;;UN;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Rom;Bologna;high;1857-10-21;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 10;1 Dbl., 4°, 3 ¼ S.;
n;G000048;ED;Ferdinand Gregorovius;;Alfred von Reumont;;Rom;Florenz;high;1857-11-08;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Reumont, S 1061, 290;1 Dbl., 4°, 3 S.;
n;;UN;Robert Eduard Prutz;;Ferdinand Gregorovius;;Stettin;Rom;high;1857-11-12;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Prutz, Eduard;1 Dbl., 8°, 2 S.;
n;G000036;ED;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Rom;Stuttgart;high;1857-11-17;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 11;1 Dbl., 8°, 2 ¾ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 216–217
n;;UN;Ferdinand Gregorovius;;Edmund Höfer;;Rom;Stuttgart;high;1857-11-18;;;;;;H: Universitätsbibliothek Greifswald, Ms Germ. 8°, 17;1 Dbl., 8°, 2 S.;
n;;UN;Ferdinand Gregorovius;;Jean Henry Bon;;Rom;Königsberg;high;1857-12-13;;;;;;h (Hermann Elgnowski): BSB München, NL Gregorovius, Gregoroviusiana 20, Bon;;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 70–71
;ed_ofm_23s_l5b;ED;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Rom;Bologna;high;1857-12-23;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 11;1 Bl., 4°, 1 ¼ S.;
n;G000024;ED;Ferdinand Gregorovius;;Hermann von Thile;;Rom;Berlin;high;1857-12-24;;;;;;H: GSA Weimar, 96/937, 1;1 Bl., 8°, 1 ½ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 1–2 (leicht gekürzt)
;ed_z12_mpx_l5b;ED;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Rom;Bologna;high;1857-12-26;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 12;1 Bl., 4°, 1 ¾ S.;
n;;UN;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Ferdinand Gregorovius;;Weimar;Rom;high;1857-12-29;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Sachsen-Weimar, Karl Alexander, 1 ;1 Bl., 4°, ¾ S. (von Schreiberhand m. eigenh. Unterschrift);
n;;UN;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Rom;Stuttgart;high;1857-12-30;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 12;1 Bl., 8°, 1 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 217–218
n;G000031;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Rom;Leipzig;high;1858-01-02;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 46;1 Dbl., 8°, 1 ¾ S.;
n;G000067;ED;Ferdinand Gregorovius;;Hermann von Thile;;Rom;Berlin;high;1858-01-12;;;;;;H: GSA Weimar, 96/937, 2;1 Dbl., 4°, 2 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 2–4 (leicht gekürzt)
n;G000021;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Rom;Stuttgart;high;1858-01-31;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 13;1 Dbl., 4°, 2 S.;
n;G000065;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Rom;Leipzig;high;1858-02-02;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 47;1 Dbl., 8°, 1 ¾ S.;
n;G000043;ED;Ferdinand Gregorovius;;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Rom;Weimar;high;1858-02-04;;;;;;H: Landesarchiv Thüringen, Hauptstaatsarchiv Weimar, Großherzogliches Hausarchiv, Abt. XXVI, Nr. 319, Bl. 2–3;1 Dbl., 4°, 2 ¾ S.;
n;G000052;ED;Ferdinand Gregorovius;;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Rom;Florenz;high;1858-02-22;;;;;;H: Landesarchiv Thüringen, Hauptstaatsarchiv Weimar, Großherzogliches Hausarchiv, Abt. XXVI, Nr. 319, Bl. 4–5;1 Dbl., 4°, 2 ½ S.;
;ed_o3r_txx_l5b;ED;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Rom;Bologna;high;1858-02-26;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 14;1 Dbl., 4°, 2 ¾ S.;
n;G000035;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Rom;Leipzig;high;1858-03-07;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 48;1 Dbl., 8°, 3 S. (Beilage zum Brief von Gregorovius an Heinrich Brockhaus vom 8.3.1858 [Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 49]);Wanderjahre in Italien. Hrsg. von Heinrich Hubert Houben. Leipzig 1912. Nachwort, S. 260–261 (gekürzt)
n;G000069;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Rom;Leipzig;high;1858-03-08;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 49;1 Dbl., 8°, 4 S. ;
n;;UN;August von Haxthausen;;Ferdinand Gregorovius;;Rom;Rom;high;1858-03-15;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Haxthausen, August von;1 Dbl., 8°, 1 S.;
n;;UN;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Ferdinand Gregorovius;;Weimar;Rom;high;1858-03-30;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Sachsen-Weimar, Karl Alexander, 2;1 Dbl., 4°, 1 ¾ S. (von Schreiberhand, Unterschrift fehlt);
n;G000046;ED;Ferdinand Gregorovius;;Theodor Heyse;;Rom;Florenz;high;1858-04-15;;;;;;H: BBAW, Archiv, NL Theodor Heyse, Bl. 12–14;3 Bl., 8°, 6 S.;Briefe von Ferdinand Gregorovius an Theodor Heyse. In: Mittheilungen aus dem Litteraturarchive in Berlin 1899. Berlin 1899. S. 191–194 (gekürzt)
;G000398;ED;Ferdinand Gregorovius;;Giovanni Battista De Rossi;;Rom;Rom;low;1858-04-18;;;;;la signora Stubbe, quella dama di corte presso la granduchessa mi a domandato, di procurarle un permesso per le grotte del Vaticano;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14241, Carteggio Giovanni Battista De Rossi 1858–1859, fol. 158, Nr. 97;BK, 1 S.;
n;G000088;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Rom;Leipzig;high;1858-04-19;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 50;1 Dbl., 4°, 3 S.;
n;G000085;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Rom;Stuttgart;high;1858-05-20;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 14 ;1 Dbl., 4°, 2 ¾ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 218–220
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;Rom;high;1858-05-24;;;;;;K: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 14a (bei Gregorovius an J. G. Cotta, 20.5.1858, DLA Marbach, Cotta-Archiv, Cotta-Briefe, 14 );1 Dbl., 4°, 2 ¼ S.;
n;;UN;Jean-Jacques Ampère;;Ferdinand Gregorovius;;Frascati;Rom;high;1858-06-02;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Ampère, Jean-Jacques;1 Dbl., 8°, 2 ¾ S.;
n;G000116;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Rom;Stuttgart;high;1858-06-22;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 15;1 Dbl., 8°, 4 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 220–221 (gekürzt)
;ed_l5w_ysy_l5b;ED;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Rom;Venedig;high;1858-07-05;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 15 + 15a;1 Dbl., 4°, 2 ¾ S. + Umschlag;
n;;UN;Johann Georg Freiherr Cotta von Cottendorf;;Ferdinand Gregorovius;;Stuttgart;Rom;high;1858-07-09;;;;;;K: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 15a (bei Gregorovius an J. G. Cotta, 22.6.1858, DLA Marbach, Cotta-Archiv, Cotta-Briefe, 15);1 Dbl., 8°, 4 S.;
n;;UN;Ferdinand Gregorovius;;Louis Köhler;Johanna Köhler;Rom;Königsberg;high;1858-07-10;;;;;;h (Hermann Elgnowski): BSB München, NL Gregorovius, Gregoroviusiana 20, Köhler, Louis;;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 72–73
n;;UN;Ferdinand Gregorovius;;Hermann von Thile;;Rom;Frascati;high;1858-07-10;;;;;;H: GSA Weimar, 96/937, 3;1 Dbl., 8°, 2 ¼ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 4–5 (leicht gekürzt)
n;G000049;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Florenz;Leipzig;high;1858-07-20;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 51;1 Dbl., 4°, 2 ¾ S.;
n;G000115;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Florenz;Stuttgart;high;1858-07-20;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 16;1 Dbl., 4°, 2 ¾ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 222–224 (leicht gekürzt)
n;;UN;Ferdinand Gregorovius;;Leopold Witte;;Florenz;Rom;high;1858-08-06;;;;;;;;Leopold D. Witte: Vor fünfzig Jahren in Rom. Erinnerungen von Professor D. Leopold Witte. Bielefeld, Leipzig 1910. S. 45–46 (Auszug)
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Florenz;Stuttgart;high;1858-08-18;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 17;1 Bl., 8°, 1 S.;
n;G000328;ED;Johann Georg Freiherr Cotta von Cottendorf;;Ferdinand Gregorovius;;Stuttgart;Florenz;high;1858-08-18;;;;;;h: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 18a;1 Dbl., 4°, 1 ¾ S. (von Schreiberhand);
n;G000114;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Florenz;Stuttgart;high;1858-08-25;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 18;1 Dbl., 8°, 4 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 224–225 (stark gekürzt)
n;;UN;Johann Georg Freiherr Cotta von Cottendorf;;Ferdinand Gregorovius;;Stuttgart;Florenz;high;1858-08-31;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 26c (h: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 18b);1 Dbl., 8°, 2 ½ S.;
n;;UN;Salvatore Viale;;Ferdinand Gregorovius;;Bastia;Rom;high;1858-09-03;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Viale, Salvatore, 3;1 Dbl., 8°, 1 ¾ S.;
n;G000113;ED;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Florenz;Stuttgart;high;1858-09-05;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 19;1 Dbl., 8°, 2 ¼ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 225–226 (gekürzt)
;ed_cj3_vw2_m5b;ED;Ferdinand Gregorovius;;Contessa Maria Teresa Serego Alighieri Gozzadini;;Florenz;Bologna;high;1858-09-13;;;;;;H: Bologna, Biblioteca dell’Archiginnasio, Fondo Carte Gozzadini e da Schio, busta 38, fasc. 20, 13;1 Dbl., 4°, 4 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Florenz;Stuttgart;high;1858-09-16;;;;;;H: DLA Marbach, Cotta-Archiv, 34802;1 Bl., 8°, ¾ S.;
n;;UN;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Florenz;Stuttgart;high;1858-09-16;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 20;1 Dbl., 8°, 2 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 226 (stark gekürzt)
n;G000112;ED;Ferdinand Gregorovius;;Hermann von Thile;;Florenz;Berlin;high;1858-09-23;;;;;;H: GSA Weimar, 96/937, 4;1 Dbl., 8°, 3 ½ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 5–7 (gekürzt)
y;G000020;ED;Ferdinand Gregorovius;;Gustavo Strafforello;;Florenz;Turin;high;1858-09-25;;;;;;H: Biblioteca Nazionale Centrale di Firenze, Carteggio Tommaseo, 88, 56;1 Dbl., 4°, 3 S.;
n;G000111;ED;Ferdinand Gregorovius;;Theodor Heyse;;Livorno;Florenz;high;1858-09-29;;;;;;H: BBAW, Archiv, NL Theodor Heyse, Bl. 15;1 Bl., 4°, 1 S.;
n;G000110;ED;Ferdinand Gregorovius;;Theodor Heyse;;Rom;Florenz;high;1858-10-02;;;;;;H: BBAW, Archiv, NL Theodor Heyse, Bl. 17;1 Bl., 8°, 2 S.;Briefe von Ferdinand Gregorovius an Theodor Heyse. In: Mittheilungen aus dem Litteraturarchive in Berlin 1899. Berlin 1899. S. 194–195 (gekürzt)
;;UN;Joseph Victor von Scheffel;;Ferdinand Gregorovius;;Donaueschingen;Rom;high;1858-10-15;;;;;;H: Karlsruhe, Museum für Literatur am Oberrhein, NL Scheffel;1 Bl., 4°, 1 ¾ S.;
n;;UN;Ferdinand Gregorovius;;Ludwig Walesrode;;Rom;Hamburg;high;1858-10-21;;;;;;h (Hermann Elgnowski): BSB München, NL Gregorovius, Gregoroviusiana 20, Walesrode, Ludwig;;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 73–74
n;G000087;ED;Ferdinand Gregorovius;;Theodor Heyse;;Rom;Florenz;high;1858-10-28;;;;;;H: BBAW, Archiv, NL Theodor Heyse, Bl. 18–19;1 Dbl., 8°, 4 S.;Briefe von Ferdinand Gregorovius an Theodor Heyse. In: Mittheilungen aus dem Litteraturarchive in Berlin 1899. Berlin 1899. S. 195–199
n;;UN;Ferdinand Gregorovius;;Pasquale Villari;;Rom;Florenz;high;1858-10-28;;;;;;H: Rom, Biblioteca Apostolica Vaticana, Carte Villari 24, fol. 22–61 ;;„Un anello ideale“ fra Germania e Italia. Corrispondenze di Pasquale Villari con storici tedeschi. Hrsg. von Anna Maria Voci. Rom 2006. S. 149–151
n;G000082;ED;Ferdinand Gregorovius;;Theodor Heyse;;München;Florenz;high;1858-10-29;;;;;;H: BBAW, Archiv, NL Theodor Heyse, Bl. 20;1 Bl., 8°, 1 S.;
n;;UN;Ferdinand Gregorovius;;Louis Harder;;Rom;Königsberg;high;1858-11-01;;;;;;H: BSB München, Autogr., Gregorovius, Ferdinand, 19;1 Bl., 4°, 1 S. ;Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 75
n;G000109;ED;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Rom;Stuttgart;high;1858-11-06;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 21;1 Dbl., 8°, 3 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 226–228 (gekürzt)
n;;UN;Ferdinand Gregorovius;;Pasquale Villari;;Rom;Florenz;high;1858-11-21;;;;;;H: Rom, Biblioteca Apostolica Vaticana, Carte Villari 24, fol. 22–61;;„Un anello ideale“ fra Germania e Italia. Corrispondenze di Pasquale Villari con storici tedeschi. Hrsg. von Anna Maria Voci. Rom 2006. S. 151–153
;;UN;Johann Georg Freiherr Cotta von Cottendorf;;Ferdinand Gregorovius;;Stuttgart;Rom;high;1858-11-22;;;;;;h: DLA Marbach, Cotta-Archiv, Gelehrten-Copierbuch IV, 808;;
n;G000107;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Rom;Stuttgart;high;1858-12-01;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 22;1 Dbl., 8°, 3 ½ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 228–229 (gekürzt)
;;UN;Ferdinand Gregorovius;;Heinrich Brockhaus;;Rom;Messina;high;1858-12-14;;;;;;H: J. A. Stargardt, Kat. 700 (2014), Nr. 444 ;1 Dbl., 8°, 3 S.;J. A. Stargardt, Kat. 700 (2014), Nr. 444 (Auszug + Regest)
n;G000400;ED;Ferdinand Gregorovius;;Lionardo Vigo;;Rom;Acireale;high;1858-12-14;;;;;;;;Vita intima. Lettere inedite di Lionardo Vigo e di alcuni illustri suoi contemporanei. Hrsg. von Giambattista Grassi Bertazzi. Catania 1896. S. 204–205 (Reprint Catania 1977)
n;G000108;ED;Ferdinand Gregorovius;;Johann Georg Freiherr Cotta von Cottendorf;;Rom;Stuttgart;high;1858-12-20;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 23;1 Dbl., 4°, 2 S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 230–231 (gekürzt)
n;G000106;ED;Ferdinand Gregorovius;;Hermann von Thile;;Rom;Berlin;high;1858-12-22;;;;;;H: GSA Weimar, 96/937, 5;1 Dbl., 4°, 3 ½ S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 7–9 (gekürzt)
n;G000084;ED;Ferdinand Gregorovius;;Eduard Brockhaus;;Rom;Leipzig;high;1858-12-30;;;;;;H: Sächsisches Staatsarchiv Leipzig, Bestand 21083, Archivalnummer 224, 52;1 Dbl., 4°, 2 ¼ S.;
n;;UN;Lionardo Vigo;;Ferdinand Gregorovius;;Acireale;Rom;high;1858-12-31;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Vigo, Lionardo;1 Dbl., 4°, 1 ¾ S.;
n;G000105;ED;Ferdinand Gregorovius;;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Rom;Weimar;high;1859-04-05;;;;;;H: Landesarchiv Thüringen, Hauptstaatsarchiv Weimar, Großherzogliches Hausarchiv, Abt. XXVI, Nr. 319, Bl. 6–7;1 Bl., 4°, 1 ¼ S. + Umschlag;
;ed_jyb_2h5_4wb;ED;Ferdinand Gregorovius;;Christian Karl Josias Freiherr von Bunsen;;Rom;Heidelberg;high;1859-04-06;;;;;;H: GhStA Berlin, I. HA, Rep. 92, Dep. Bunsen, v., Karl Josias, B Nr. 50c, Paket 1, Verschiedene (meist unbeantwortete) Briefe 1859–1860, Bl. 229–230;1 Dbl., 8°, 2 ½ S.;
n;G000103;ED;Ferdinand Gregorovius;;Hermann von Thile;;Rom;Berlin;high;1859-04-11;;;;;;H: GSA Weimar, 96/937, 6;1 Dbl., 1 Bl., 8°, 6 S.;Briefe von Ferdinand Gregorovius an den Staatssekretär Hermann von Thile. Hrsg. von Herman von Petersdorff. Berlin 1894. S. 9–12 (gekürzt)
n;G000401;ED;Ferdinand Gregorovius;;Lionardo Vigo;;Rom;Acireale;high;1859-04-25;;;;;;;;Vita intima. Lettere inedite di Lionardo Vigo e di alcuni illustri suoi contemporanei. Hrsg. von Giambattista Grassi Bertazzi. Catania 1896. S. 206–207 (Reprint Catania 1977)
;G000402;ED;Alfred von Reumont;;Giacomo Antonelli;;Florenz;Rom;high;1859-04-28;;;;;;H: Rom, Archivio Segreto Vaticano, Segreteria di Stato 1859, rubr. 47, fol. 30–31;1 Dbl., 4°, 1 ¾ S.;
n;G000403;ED;Ferdinand Gregorovius;;Giacomo Antonelli;;Rom;Rom;high;1859-04-30;;;;;;H: Rom, Archivio Segreto Vaticano, Segreteria di Stato 1859, rubr. 47, fol. 33–34;1 Dbl., 4°, 1 S.;Alberto Forni: Dalle „Stanze del Tesoro della Storia“. In: Storia della Biblioteca Apostolica Vaticana. Bd. 5: La Biblioteca Vaticana dall’occupazione francese all’ultimo Papa Re (1797–1878). Hrsg. von Andreina Rita. Città del Vaticano 2020. S. 18 (gekürzt)
n;G000102;ED;Ferdinand Gregorovius;;Moritz Hartmann;;Rom;Paris;high;1859-05-07;;;;;;H: Wienbibliothek im Rathaus, NL Moritz Hartmann, I.N. 43809;1 Dbl., 4°, 1 ¾ S.;
n;G000101;ED;Ferdinand Gregorovius;;Malwida von Meysenbug;;Rom;London;high;1859-05-07;;;;;;H: GSA Weimar 116/107, 1;1 Bl., 4°, 2 S. (unvollständig, Bl. 2 fehlt, geringer Textverlust);Berta Schleicher: Ferdinand Gregorovius und Malwida von Meysenbug. Unveröffentlichte Briefe. In: Der Türmer. Monatsschrift für Gemüt und Geist. Jg. 25. H. 4. Stuttgart 1923. S. 236–237 (gekürzt)
;;UN;Giacomo Antonelli;;Alfred von Reumont;;Rom;Florenz;high;1859-05-20;;;;;;K: Rom, Archivio Segreto Vaticano, Segreteria di Stato 1859, rubr. 47, fol. 32;1 Bl., 4°, 1 S.;
;G000404;ED;Ferdinand Gregorovius;;Giovanni Battista De Rossi;;Rom;Rom;high;1859-05-20;;;;;;H: Rom, Biblioteca Apostolica Vaticana, Vat. Lat. 14241, Carteggio Giovanni Battista De Rossi 1858–1859, fol. 638, Nr. 82;1 Bl., 8°, ¾ S.;
n;G000100;ED;Ferdinand Gregorovius;;Alfred von Reumont;;Rom;Florenz;high;1859-05-26;;;;;;H: Universitäts- und Landesbibliothek Bonn, NL Reumont, S 1061, 291;1 Dbl., 8°, 3 S. ;
;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;Rom;high;1859-06-01;;;;;[Honoraranweisung];h: DLA Marbach, Cotta-Archiv, Gelehrten-Copierbuch V, 17;;
n;;UN;J. G. Cotta’sche Buchhandlung;;Ferdinand Gregorovius;;Stuttgart;Rom;high;1859-06-14;;;;;;h: DLA Marbach, Cotta-Archiv, Gelehrten-Copierbuch V, 16;;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Rom;Stuttgart;high;1859-06-28;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 24;1 Dbl., 4°, 2 ¼ S.;Johannes Hönig: Ferdinand Gregorovius der Geschichtschreiber der Stadt Rom. Stuttgart, Berlin 1921. S. 231–232 (gekürzt)
n;;UN;Carl Alexander Großherzog von Sachsen-Weimar-Eisenach;;Ferdinand Gregorovius;;Weimar;Rom;high;1859-07-05;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Sachsen-Weimar, Karl Alexander, 3 (k1: Landesarchiv Thüringen, Hauptstaatsarchiv Weimar, Großherzogliches Hausarchiv, Abt. XXVI, Nr. 319, Bl. 8 – K2: Landesarchiv Thüringen, Hauptstaatsarchiv Weimar, Großherzogliches Hausarchiv, Abt. XXVI, Nr. 319, Bl. 9);1 Dbl., 4°, 1 S.;
n;;UN;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Rom;Stuttgart;high;1859-07-21;;;;;;H: DLA Marbach, Cotta-Archiv, Cotta-Briefe, 25;1 Dbl., 8°, 2 ¾ S.;
n;G000405;ED;Ferdinand Gregorovius;;Sebastiano Kalefati;;Genazzano;Montecassino;high;1859-08-12;;;;;;H: Montecassino, Archivio dell’Abbazia, Carteggio Kalefati;1 Bl., 4°, 1 ½ S. ;Tommaso Leccisotti: Alcune lettere di Ferdinando Gregorovius a Monaci Cassinesi. In: Benedictina. Fascicoli di studi Benededettini. Jg. 14. Fasc. 1. Rom 1967. S. 136–137 (ungenau und irrig datiert, 12.8.1839)
n;;UN;Karl Rosenkranz;;Ferdinand Gregorovius;;Zeitz;Rom;high;1859-09-21;;;;;;H: BSB München, NL Gregorovius, Gregoroviusiana 21, Rosenkranz, Karl,4;1 Dbl., 8°, 3 S.;D1: Kurt Getzuhn: Briefe von Karl Rosenkranz. In: Altpreußische Monatsschrift. Bd. 49. H. 1. Königsberg 1912. S. 176–179 – D2: Ferdinand Gregorovius: Briefe nach Königsberg. Hrsg. von Dominik Fugger und Nina Schlüter. München 2013. S. 76–78
n;G000099;ED;Ferdinand Gregorovius;;J. G. Cotta’sche Buchhandlung;;Rom;Stuttgart;high;1859-09-22;;;;;;H: DLA Marbach, Cotta-Archiv, 34804;1 Bl., 8°, 2 S.;
n;;UN;Ferdinand Gregorovius;;Hermann Hauff;;Rom;Stuttgart;high;1859-09-22;;;;;;H: DLA Marbach, Handschriftenabteilung, A: Hauff-Kölle (Morgenblatt), 34803;1 Bl., 8°, 1 S.;
